Query Type,English,Arabic
1. Opening Statement - If customer shared a query or concern along with the order ID,Hala! Thank you for contacting NowNow. I'm happy to assist you.,هلا! شكرًا لتواصلك مع ناو ناو، يسعدني مساعدتك اليوم.
2. Opening Statement  - IF  customer DID NOT SHARE A QUERY or CONCERN & ORDER ID,Hala! Thank you for contacting NowNow. How can I assist you today?,هلا! كيف يمكنني مساعدتك اليوم؟
3. Opening Statement - Customer sent just the order ID ,Hala! Thank you for contacting NowNow. Let me quickly check the order status for you.,هلا! شكرًا لتواصلك معنا، دعني أتحقق سريعًا من حالة طلبك.
3.1 Opening Statement -  Send this template next if the order is in Delivered status,"Thanks for being on hold. As I can see the order ""XXX"" is showing delivered. Is there any issue with the order or delivered items in order?","شكرًا لانتظارك. حسب التحديثات، الطلب ""...."" تم تسليمه. هل واجهت أي مشكلة في الطلب أو العناصر المستلمة؟"
"Opening 4 - Customer Sent his concern or full details including order ID, pictures",Hala! Thank you for contacting NowNow. I'll be glad to help you out. I'm reviewing the information you provided and will be with you within 2 minutes.,هلا! شكرًا لتواصلك مع ناو ناو. أنا أراجع التفاصيل الآن وسأكون معك خلال دقيقتين.
5. APOLOGY / SORRY STATEMENT (Use Wisely depending upon case to case),Please accept my heartfelt apologies for the problem you have faced this time. I will do my best to help you out.,أعتذر لك عن أي إزعاج. سأبذل قصارى جهدي لحل المشكلة لك.
5. APOLOGY / SORRY STATEMENT (Use Wisely depending upon case to case),I’m sorry for the inconvenience caused to you. I will surely assist you in this regard and provide the best possible resolution.,أقدر استيائك، وأعتذر عن أي إزعاج. سأساعدك في إيجاد أفضل حل ممكن.
5. APOLOGY / SORRY STATEMENT (Use Wisely depending upon case to case),I regret to hear that you’ve faced trouble. I’m sorry for the inconvenience this may have caused you. I will certainly do my best to help you out.,نأسف لسماع أنك واجهت مشكلة. أعتذر عن أي إزعاج، وسأبذل جهدي لحل الأمر سريعًا.
5. APOLOGY / SORRY STATEMENT (Use Wisely depending upon case to case),I’m sorry for the inconvenience caused to you. Please be assured that this is not the level of service we strive to offer to valued customers like you.,أعتذر لك عن التجربة غير المرضية. نحرص دائمًا على تقديم أفضل خدمة لعملائنا، وسأعمل على مساعدتك بأسرع وقت.
5. APOLOGY / SORRY STATEMENT (Use Wisely depending upon case to case),"I appreciate your understanding as we strive to improve your experience. Unfortunately, there are times when unavoidable circumstances arise, and we may fall short. I hope you’ll give us another chance to rectify our mistake and provide you with the service you deserve.",أقدّر تفهمك، ونتمنى أن تمنحنا فرصة أخرى لتقديم الخدمة التي تستحقها. أحيانًا قد تحدث ظروف خارجة عن إرادتنا، لكننا نسعى دائمًا لتحسين تجربتك.
"HOLD EXTENSION

HOLD & UNHOLD",Please bear with me for 2 minutes while I look into this for you and provide assistance.,أرجو منك الانتظار لدقيقتين بينما أبحث في الأمر وأقدم لك المساعدة.
"HOLD EXTENSION

HOLD & UNHOLD",Could you please bear with me for a minute or two while I check the information for you?,هل يمكنك الانتظار لدقيقة أو اثنتين بينما أتحقق من المعلومات من أجلك؟
"HOLD EXTENSION

HOLD & UNHOLD",I appreciate your patience as checking the information is taking longer than expected. Please bear with me for another 2 minutes. Thank you for your understanding.,أقدر صبرك، حيث يستغرق التحقق من المعلومات وقتًا أطول من المتوقع. أرجو منك الانتظار لدقيقتين إضافيتين، وشكرًا لتفهمك.
"HOLD EXTENSION

HOLD & UNHOLD","Thank you for your patience. I apologize for the delay, and I appreciate your understanding. Please allow me another 2 minutes to resolve this for you.",شكرًا لصبرك. أعتذر عن التأخير وأقدر تفهمك. أرجو أن تسمح لي بدقيقتين إضافيتين لحل هذا الأمر لك.
"HOLD EXTENSION

HOLD & UNHOLD",Please bear with me for two minutes while I review the details of your order.,أرجو منك الانتظار لدقيقتين بينما أراجع تفاصيل طلبك.
"HOLD EXTENSION

HOLD & UNHOLD",Thank you for being patient.,شكرًا لصبرك.
"HOLD EXTENSION

HOLD & UNHOLD",Thanks for waiting.,شكرًا لانتظارك.
FURTHER ASSISTANCE,I hope I've answered all your questions today! Is there anything else I can help you with?,أتمنى أن أكون قد أجبت على جميع استفساراتك اليوم! هل هناك أي شيء آخر يمكنني مساعدتك به؟
FURTHER ASSISTANCE,Anything else that you would like us to help you with?,هل هناك أي شيء آخر يمكننا مساعدتك به؟
FURTHER ASSISTANCE,"Apart from this, anything else I can assist you with?",بجانب ذلك، هل هناك أي شيء آخر يمكنني مساعدتك به؟
FURTHER ASSISTANCE,Is there anything else I can assist you with?,هل هناك أي شيء آخر يمكنني مساعدتك به؟
"RATE THE CHAT (CSAT)

USE ONLY WHEN CX IS HAPPY AND SATISFIED WITH YOUR ASSISTANCE ","Also, after the chat ends, a quick survey will pop up. If you’re happy with the support, I’d really appreciate it if you could rate the chat as ‘Good.’ Your feedback helps me improve!","أيضًا، بعد انتهاء المحادثة، سيظهر لك استبيان سريع. إذا كنت راضيًا عن الدعم، سأكون ممتنًا إذا قمت بتقييم المحادثة بـ ""جيد"". ملاحظاتك تساعدني على التحسن!"
1st Nudge - Send after 2 minutes if the Cx has not responded,It's been a little while since we heard from you. Would you like to continue our conversation?,لقد مر بعض الوقت منذ آخر تواصل بيننا، هل تود متابعة المحادثة؟
"Nudge response 2 
This response is typically sent on chat where either the agent has sent first nudge response to CX and cx came back again. So if cx goes idle again, new response to be sent. ",We haven’t heard from you in a while. Would you like to continue the chat,لم نسمع منك منذ فترة، هل ترغب في متابعة المحادثة؟
"Nudge Closure - Send at 1 minute after the first nudge if, the customer still hasn't responded, then close the chat.","We will end this chat as we did not hear from you for a while. If you need any help do not hesitate to contact us. Thank you for choosing NowNow, have a good day!",سنقوم بإنهاء هذه المحادثة لعدم استلام أي رد منك لفترة. إذا كنت بحاجة إلى أي مساعدة، لا تتردد في التواصل معنا. شكرًا لاختيارك ناو ناو، ونتمنى لك يومًا سعيدًا!
CLOSING STATEMENT,"You're always welcome. Thank you for choosing NowNow, have a good day!",دائمًا مرحبًا بك! شكرًا لاختيارك ناو ناو، ونتمنى لك يومًا سعيدًا!
the customer is asking about new symbols of AED & SAR ,"We've recently updated the currency symbols for AED and SAR on our platform, in line with the official symbols introduced by the UAE and Saudi governments.

These changes are meant to provide a more accurate and up-to-date representation of each currency.","قمنا مؤخرًا بتحديث رموز العملات لـ AED و SAR على منصتنا، بما يتماشى مع الرموز الرسمية التي تم اعتمادها من قبل حكومتي الإمارات والسعودية.
تهدف هذه التغييرات إلى تقديم تمثيل أدق وأحدث لكل عملة."
ORDER PLACED WITHIN 10 MINS,"Your order has been successfully placed, and the store will be processing it as quickly as possible.",تم تقديم طلبك بنجاح، وسيقوم المتجر بمعالجته في أسرع وقت ممكن.
